Nov 11, 2015 10:32:53 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/stack/opendaylight/distribution-karaf-0.3.1-SNAPSHOT/lock
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Nov 11, 2015 10:32:53 PM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2015-11-11 22:33:02,207 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-manager 0.3.1-SNAPSHOT
2015-11-11 22:33:02,207 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-core 0.3.1-SNAPSHOT
2015-11-11 22:33:02,207 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-yangtools-binding-generator 0.7.1-SNAPSHOT
2015-11-11 22:33:02,249 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-api 0.3.1-SNAPSHOT
2015-11-11 22:33:02,277 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-api 0.3.1-SNAPSHOT
2015-11-11 22:33:02,278 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-protocol-framework 0.6.1-SNAPSHOT
2015-11-11 22:33:02,278 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-netty-config-api 0.3.1-SNAPSHOT
2015-11-11 22:33:02,325 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-mapping-api 0.3.1-SNAPSHOT
2015-11-11 22:33:02,329 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-util 0.3.1-SNAPSHOT
2015-11-11 22:33:02,341 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-notifications-api 0.3.1-SNAPSHOT
2015-11-11 22:33:02,350 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-persister 0.3.1-SNAPSHOT
2015-11-11 22:33:02,387 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-impl 0.3.1-SNAPSHOT
2015-11-11 22:33:02,388 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-netty-util 0.3.1-SNAPSHOT
2015-11-11 22:33:02,412 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-monitoring 0.3.1-SNAPSHOT
2015-11-11 22:33:02,417 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-netconf-notifications-impl 0.3.1-SNAPSHOT
2015-11-11 22:33:02,426 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-config-netty 0.3.1-SNAPSHOT
2015-11-11 22:33:02,483 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-mdsal-clustering-commons 1.2.1-SNAPSHOT
2015-11-11 22:33:02,483 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-akka-system 2.3.10
2015-11-11 22:33:02,483 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-akka-scala 2.10
2015-11-11 22:33:02,490 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-akka-persistence 2.3.10
2015-11-11 22:33:02,490 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-akka-leveldb 0.7
2015-11-11 22:33:02,628 | INFO  | 3.1-SNAPSHOT/etc | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.4.2 | Creating configuration from org.opendaylight.aaa.federation.cfg
2015-11-11 22:33:02,633 | INFO  | 3.1-SNAPSHOT/etc | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.4.2 | Creating configuration from org.opendaylight.aaa.authn.cfg
2015-11-11 22:33:02,636 | INFO  | 3.1-SNAPSHOT/etc | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.4.2 | Creating configuration from org.opendaylight.controller.cluster.datastore.cfg
2015-11-11 22:33:02,703 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.3 | Installing feature odl-akka-clustering 2.3.10
