vagrant@vagrant-ubuntu-trusty-64:/opt/stack/opendaylight$ sudo tail -f /var/log/ apache2/keystone_access.log & echo $! >/opt/stack/status/stack/key-access.pid; f g || echo "key-access failed to start" | tee "/opt/stack/status/stack/key-access .failure"
[1] 17737
sudo tail -f /var/log/apache2/keystone_access.log
10.0.2.15 - - [11/Nov/2015:22:31:24 +0000] "PUT /v3/projects/982667e362de489f829fcd581d2682fe/users/afbb11c8c7244ad195e2dcbba4f6ffe1/roles/4580378bd82941baaed3a2da0d132261 HTTP/1.1" 204 - "-" "python-keystoneclient" 24183(us)
10.0.2.15 - - [11/Nov/2015:22:31:25 +0000] "GET /v3/users/afbb11c8c7244ad195e2dcbba4f6ffe1 HTTP/1.1" 200 225 "-" "python-keystoneclient" 12679(us)
10.0.2.15 - - [11/Nov/2015:22:31:25 +0000] "GET /v3/projects/982667e362de489f829fcd581d2682fe HTTP/1.1" 200 274 "-" "python-keystoneclient" 11843(us)
10.0.2.15 - - [11/Nov/2015:22:31:25 +0000] "GET /v3/projects/982667e362de489f829fcd581d2682fe/users/afbb11c8c7244ad195e2dcbba4f6ffe1/roles HTTP/1.1" 200 327 "-" "python-keystoneclient" 21044(us)
10.0.2.15 - - [11/Nov/2015:22:31:26 +0000] "GET /v3/domains/default HTTP/1.1" 200 216 "-" "python-keystoneclient" 10240(us)
10.0.2.15 - - [11/Nov/2015:22:31:26 +0000] "POST /v3/groups HTTP/1.1" 201 223 "-" "python-keystoneclient" 22200(us)
10.0.2.15 - - [11/Nov/2015:22:31:26 +0000] "GET /v3/domains/default HTTP/1.1" 200 216 "-" "python-keystoneclient" 14152(us)
10.0.2.15 - - [11/Nov/2015:22:31:26 +0000] "POST /v3/groups HTTP/1.1" 201 220 "-" "python-keystoneclient" 18722(us)
10.0.2.15 - - [11/Nov/2015:22:31:27 +0000] "GET /v3/groups/32d072ede9a44d84a68d2f65e14c42c4 HTTP/1.1" 200 220 "-" "python-keystoneclient" 15290(us)
10.0.2.15 - - [11/Nov/2015:22:31:27 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb HTTP/1.1" 200 260 "-" "python-keystoneclient" 10483(us)
10.0.2.15 - - [11/Nov/2015:22:31:27 +0000] "GET /v3/projects/dc23190b3697437dba126b4ba31496eb/groups/32d072ede9a44d84a68d2f65e14c42c4/roles HTTP/1.1" 200 181 "-" "python-keystoneclient" 15615(us)
10.0.2.15 - - [11/Nov/2015:22:31:28 +0000] "GET /v3/roles/4580378bd82941baaed3a2da0d132261 HTTP/1.1" 200 157 "-" "python-keystoneclient" 11370(us)
10.0.2.15 - - [11/Nov/2015:22:31:28 +0000] "GET /v3/groups/32d072ede9a44d84a68d2f65e14c42c4 HTTP/1.1" 200 220 "-" "python-keystoneclient" 11661(us)
